Date,05T,10T,11T,59T,61T,03T,50T,52T,53T,54T,08T,14T,17T,18T,19T,20T,27T
1/1/2018,17,n/a,n/a,21,30,n/a,27,31,15,n/a,31,n/a,n/a,n/a,25,n/a,35
2/1/2018,25,n/a,n/a,26,33,n/a,30,37,17,n/a,33,n/a,n/a,n/a,33,n/a,45
3/1/2018,34,n/a,n/a,38,42,n/a,40,50,22,n/a,40,n/a,n/a,n/a,38,n/a,60
4/1/2018,41,n/a,n/a,39,45,n/a,45,53,24,n/a,51,n/a,n/a,n/a,55,n/a,79
5/1/2018,42,n/a,n/a,51,53,n/a,51,58,27,n/a,59,n/a,n/a,n/a,56,n/a,72
6/1/2018,46,n/a,n/a,42,n/a,n/a,48,52,25,n/a,54,n/a,n/a,n/a,60,n/a,49
7/1/2018,8,n/a,n/a,26,n/a,n/a,19,20,10,n/a,15,n/a,n/a,n/a,18,n/a,18
8/1/2018,8,n/a,n/a,10,n/a,n/a,16,16,10,n/a,15,n/a,n/a,n/a,21,n/a,10
9/1/2018,8,n/a,n/a,22,14,n/a,22,21,14,n/a,19,n/a,n/a,n/a,17,n/a,12
10/1/2018,10,n/a,n/a,10,9,n/a,17,21,8,n/a,21,n/a,n/a,n/a,20,n/a,26
11/1/2018,22,n/a,n/a,25,29,n/a,35,44,18,n/a,35,n/a,n/a,n/a,30,n/a,50
12/1/2018,26,n/a,n/a,34,33,n/a,37,50,16,n/a,39,n/a,n/a,n/a,31,n/a,58
13/1/2018,34,n/a,n/a,36,46,n/a,44,58,19,n/a,50,n/a,n/a,n/a,41,n/a,65
14/1/2018,41,n/a,n/a,38,48,n/a,45,62,20,n/a,52,n/a,n/a,n/a,56,n/a,61
15/1/2018,43,n/a,n/a,52,54,n/a,55,72,25,n/a,63,n/a,n/a,n/a,50,n/a,80
16/1/2018,58,n/a,n/a,55,64,n/a,67,77,31,n/a,76,n/a,n/a,n/a,70,n/a,93
17/1/2018,99,n/a,n/a,69,81,n/a,87,99,40,n/a,106,n/a,n/a,n/a,105,n/a,114
18/1/2018,50,n/a,n/a,54,61,n/a,59,73,30,n/a,63,n/a,n/a,n/a,70,n/a,105
19/1/2018,53,n/a,n/a,57,58,n/a,59,76,31,n/a,70,n/a,n/a,n/a,60,n/a,105
