Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,13T,14T,16T,17T,18T,19T,20T,22T,27T,81T
1/1/2019,n/a,15,20,22,n/a,23,n/a,25,22,28,27,31,28,23,21,n/a,15,19,24,18,n/a,n/a,n/a
2/1/2019,n/a,21,26,21,n/a,23,n/a,25,25,30,30,30,34,23,26,n/a,22,26,28,19,n/a,n/a,n/a
3/1/2019,n/a,24,26,25,n/a,24,n/a,29,28,34,33,35,35,32,37,n/a,26,29,33,22,n/a,n/a,n/a
4/1/2019,n/a,27,32,29,n/a,28,32,33,31,37,39,40,39,33,36,n/a,30,30,39,27,n/a,48,n/a
5/1/2019,n/a,33,37,36,n/a,35,39,43,34,46,51,47,48,45,45,n/a,38,38,43,35,n/a,63,n/a
6/1/2019,n/a,62,61,60,n/a,63,68,76,51,81,75,91,86,75,64,n/a,63,62,59,63,n/a,80,n/a
7/1/2019,n/a,65,60,61,n/a,56,68,69,58,74,71,83,80,68,65,n/a,60,68,74,57,n/a,76,n/a
8/1/2019,n/a,19,27,28,n/a,23,23,38,n/a,23,28,34,32,22,30,n/a,18,13,28,50,n/a,12,n/a
9/1/2019,n/a,22,26,27,n/a,24,30,n/a,n/a,26,33,43,33,32,35,n/a,20,14,24,26,n/a,15,n/a
10/1/2019,n/a,37,40,39,n/a,35,45,56,47,44,46,49,46,44,52,n/a,32,31,42,45,n/a,36,n/a
11/1/2019,n/a,62,69,64,n/a,59,87,81,83,81,81,87,76,74,78,n/a,54,48,62,57,n/a,63,n/a
12/1/2019,n/a,52,52,52,n/a,53,60,72,62,63,65,68,70,64,73,n/a,51,50,56,65,n/a,61,n/a
13/1/2019,n/a,63,60,62,n/a,55,65,88,70,74,66,74,87,68,71,n/a,62,61,55,63,n/a,85,n/a
14/1/2019,n/a,58,56,59,n/a,57,71,86,64,73,65,79,81,68,86,n/a,58,54,62,55,n/a,81,n/a
15/1/2019,n/a,48,47,53,n/a,46,60,68,48,50,58,68,60,55,58,n/a,45,34,49,58,n/a,34,n/a
16/1/2019,n/a,38,40,39,n/a,38,48,54,39,44,48,50,52,54,54,n/a,41,39,43,48,n/a,54,n/a
17/1/2019,n/a,45,45,42,n/a,38,51,53,51,49,49,52,58,44,56,n/a,47,44,45,n/a,n/a,77,n/a
18/1/2019,n/a,26,31,32,n/a,32,35,35,38,34,35,40,38,34,46,n/a,27,27,33,36,n/a,60,n/a
19/1/2019,n/a,39,46,45,n/a,44,52,51,57,53,53,55,56,49,48,n/a,46,42,49,40,n/a,69,n/a
20/1/2019,n/a,50,49,52,n/a,44,60,80,62,64,62,57,67,62,68,n/a,57,54,66,51,n/a,89,n/a
21/1/2019,n/a,57,66,60,n/a,55,71,86,72,83,74,75,82,73,78,n/a,65,56,61,61,n/a,86,n/a
